	studio	location	Ratings
134	Red Shoe Dance Company(黃竹坑店)	黃竹坑	
135	Bedrex	尖沙咀	
136	Anytime Fitness （西營盤）	西營盤	
137	Amaze Productions Studio	荃灣	
138	ZEEKERS DANZ PRODUCTION (灣仔館) 	灣仔	
139	Alive dance hk	銅鑼灣	
140	Funky Dance Centre(佐敦店)	佐敦	1.0
141	Connie Bellydance and Tahitian Dance	觀塘	
142	Twinkle Dance Company(銅鑼灣)	銅鑼灣	
143	Step Up Studio(荃灣分校)	荃灣	
144	格立教室	長沙灣	
145	Fitness First(尖沙咀 海港城店)	尖沙咀	
146	JR Dreamland	佐敦	
147	Funky Dance Centre(灣仔店)	灣仔	1.0
148	Pure Fitness(金鐘店)	金鐘	4.0
149	Crystal Dance	元朗	1.0
150	Yayakids	新蒲崗	
151	Twinkle Dance Company(黃竹坑)	黃竹坑	
152	Twinkle Dance Company(中環)	中環	
153	Dance for Joy	東涌	
154	ArtBro Education	新蒲崗	
155	香港青年協會舞蹈館	土瓜灣	
156	Pulse Dance Studio	九龍灣	
157	Red Shoe Dance Company(中環店)	中環	
158	飛舞天下	柴灣	
159	Phillip Wain (尖沙咀店)	尖沙咀	
160	鍾意舞坊	荔枝角	
161	健舞軒	九龍灣	
162	Neverland Dance House	觀塘	2.0
163	Funky Dance Centre(觀塘店)	觀塘	1.0
164	Dancing Paradise	尖沙咀	
165	Crystal Dance	元朗	
166	Phillip Wain (太古店)	太古	
167	Danz Avenue	觀塘	
168	Agape dance studio	荔枝角	
